state,year_month,ev_registrations,total_registrations,ev_penetration_rate
ANDHRA PRADESH,2022-01,1775,76790,2.3114988930850373
ANDHRA PRADESH,2022-02,2429,68199,3.5616358011114535
ANDHRA PRADESH,2022-03,3343,68797,4.859223512653168
ANDHRA PRADESH,2022-04,2988,72539,4.119163484470423
ANDHRA PRADESH,2022-05,1762,65476,2.691062373999633
ANDHRA PRADESH,2022-06,1882,55042,3.4192071509029467
ANDHRA PRADESH,2022-07,2040,57824,3.527946873270614
ANDHRA PRADESH,2022-08,2042,71256,2.8657235881890646
ANDHRA PRADESH,2022-09,2395,71350,3.3566923615977573
ANDHRA PRADESH,2022-10,2736,90817,3.0126518162899014
ANDHRA PRADESH,2022-11,2971,85428,3.477782460083345
ANDHRA PRADESH,2022-12,2991,64904,4.608344632071983
ANDHRA PRADESH,2023-01,2948,70413,4.186726882819934
ANDHRA PRADESH,2023-02,3303,69118,4.778784108336468
ANDHRA PRADESH,2023-03,3927,73881,5.315304340764202
ANDHRA PRADESH,2023-04,3950,64727,6.102553802895237
ANDHRA PRADESH,2023-05,4774,73174,6.524175253505343
ANDHRA PRADESH,2023-06,1330,63337,2.0998784280910052
ANDHRA PRADESH,2023-07,1711,68677,2.4913726575127044
ANDHRA PRADESH,2023-08,2085,75627,2.756951882264271
ANDHRA PRADESH,2023-09,1656,70022,2.364971009111422
ANDHRA PRADESH,2023-10,2103,86751,2.424179548362555
ANDHRA PRADESH,2023-11,2344,98582,2.3777160130652653
ANDHRA PRADESH,2023-12,2744,77059,3.560907875783491
ANDHRA PRADESH,2024-01,2528,70555,3.5830203387428248
ANDHRA PRADESH,2024-02,3199,71456,4.476880877742947
ANDHRA PRADESH,2024-03,7933,86838,9.135401552315807
ANDHRA PRADESH,2024-04,3541,72900,4.857338820301783
ANDHRA PRADESH,2024-05,6179,74157,8.332321965559556
ANDHRA PRADESH,2024-06,4316,68855,6.268244862391984
ANDHRA PRADESH,2024-07,4029,75211,5.356929172594435
ANDHRA PRADESH,2024-08,2023,62651,3.228998739046464
ANDHRA PRADESH,2024-09,1789,59645,2.9994131947355185
ANDHRA PRADESH,2024-10,2428,107379,2.261149759263916
ANDHRA PRADESH,2024-11,3366,105744,3.1831593281888337
ANDHRA PRADESH,2024-12,1555,56260,2.763953075008887
ANDHRA PRADESH,2025-01,1187,64774,1.832525395992219
ANDHRA PRADESH,2025-02,1507,72515,2.0781907191615527
ANDHRA PRADESH,2025-03,1192,65428,1.8218499724888426
ANDHRA PRADESH,2025-04,1014,74818,1.3552888342377503
ANDHRA PRADESH,2025-05,945,66155,1.4284634570327261
ANDHRA PRADESH,2025-06,930,66845,1.3912783304660035
ANDHRA PRADESH,2025-07,1083,65712,1.648100803506209
ANDHRA PRADESH,2025-08,1068,70242,1.520457845733322
ANDHRA PRADESH,2025-09,908,51369,1.7676030290642217
ANDHRA PRADESH,2025-10,1018,135133,0.7533319026440618
ANDHRA PRADESH,2025-11,1240,129823,0.9551466227093812
ANDHRA PRADESH,2025-12,799,63182,1.2646006774081227
ANDHRA PRADESH,2026-01,661,71542,0.9239327947219815
ANDHRA PRADESH,2026-02,890,86702,1.0265045789024474
ANDHRA PRADESH,2026-03,1058,100128,1.0566474912112496
ANDHRA PRADESH,2026-04,982,95277,1.0306789676417183
ANDHRA PRADESH,2026-05,870,83981,1.0359486074231075
ANDHRA PRADESH,2026-06,723,58837,1.2288186005404762
GUJARAT,2022-01,2383,91169,2.6138270684114118
GUJARAT,2022-02,2836,103572,2.7381917892866796
GUJARAT,2022-03,4876,118891,4.101235585536331
GUJARAT,2022-04,6976,127991,5.450383230070864
GUJARAT,2022-05,4670,102049,4.576232986114514
GUJARAT,2022-06,5763,121120,4.758091149273447
GUJARAT,2022-07,6053,121248,4.992247294800739
GUJARAT,2022-08,5568,110672,5.031082839381234
GUJARAT,2022-09,5775,122271,4.723115047721864
GUJARAT,2022-10,6933,173778,3.9895729033594582
GUJARAT,2022-11,8805,225316,3.9078449821583905
GUJARAT,2022-12,8354,151222,5.524328470725159
GUJARAT,2023-01,6386,113926,5.605392974386883
GUJARAT,2023-02,7156,131640,5.436037678517168
GUJARAT,2023-03,8679,135788,6.39158099390226
GUJARAT,2023-04,9138,133164,6.862215013066594
GUJARAT,2023-05,10562,126665,8.338530770141713
GUJARAT,2023-06,4988,123732,4.0312934406620755
GUJARAT,2023-07,6298,164331,3.8325087780151037
GUJARAT,2023-08,6627,142114,4.663157746597802
GUJARAT,2023-09,8176,189191,4.3215586365101935
GUJARAT,2023-10,9351,221242,4.226593503945905
GUJARAT,2023-11,6283,207705,3.02496328928047
GUJARAT,2023-12,4970,132203,3.759370059680945
GUJARAT,2024-01,6289,156635,4.01506687521946
GUJARAT,2024-02,5961,138610,4.300555515475074
GUJARAT,2024-03,9884,139274,7.096801987449202
GUJARAT,2024-04,4826,142063,3.3970843921358838
GUJARAT,2024-05,4904,136649,3.5887565953647664
GUJARAT,2024-06,3706,125206,2.959922048464131
GUJARAT,2024-07,4912,153150,3.2073130917401245
GUJARAT,2024-08,3228,139690,2.310831126064858
GUJARAT,2024-09,2618,126641,2.067260997623203
GUJARAT,2024-10,4128,294628,1.401088830661037
GUJARAT,2024-11,2113,196549,1.0750499875349149
GUJARAT,2024-12,2020,150228,1.3446228399499427
GUJARAT,2025-01,2188,164951,1.3264545228583033
GUJARAT,2025-02,1559,126622,1.2312236420211338
GUJARAT,2025-03,1630,138393,1.1778052358139501
GUJARAT,2025-04,1335,140167,0.9524353093096093
GUJARAT,2025-05,1428,134076,1.0650675736149646
GUJARAT,2025-06,1348,141090,0.9554185271812319
GUJARAT,2025-07,1327,152354,0.8709978077372436
GUJARAT,2025-08,1250,181916,0.6871303238857495
GUJARAT,2025-09,1190,173948,0.6841124933888288
GUJARAT,2025-10,1509,333819,0.4520413757155824
GUJARAT,2025-11,1419,233245,0.608373169842869
GUJARAT,2025-12,1193,169519,0.7037559211651792
GUJARAT,2026-01,1249,209442,0.5963464825584172
GUJARAT,2026-02,1321,174038,0.7590296372056677
GUJARAT,2026-03,1373,192054,0.7149031001697439
GUJARAT,2026-04,1039,164971,0.6298076631650411
GUJARAT,2026-05,858,158412,0.5416256344216348
GUJARAT,2026-06,697,90723,0.7682726541229897
KARNATAKA,2022-01,4940,110296,4.478856894175673
KARNATAKA,2022-02,6163,106523,5.785604986716484
KARNATAKA,2022-03,7867,130972,6.00662737073573
KARNATAKA,2022-04,9453,140664,6.72026957857021
KARNATAKA,2022-05,6467,117079,5.523620803047515
KARNATAKA,2022-06,7529,130382,5.774570109370925
KARNATAKA,2022-07,6303,113435,5.55648609335743
KARNATAKA,2022-08,8224,127613,6.444484496093658
KARNATAKA,2022-09,8569,129575,6.613158402469613
KARNATAKA,2022-10,10763,159434,6.750755798637681
KARNATAKA,2022-11,10949,152180,7.19476935208306
KARNATAKA,2022-12,8555,114056,7.500701409833765
KARNATAKA,2023-01,10982,139354,7.880649281685493
KARNATAKA,2023-02,11252,127601,8.818112710715434
KARNATAKA,2023-03,14897,154320,9.6533177812338
KARNATAKA,2023-04,10966,131591,8.333396660865864
KARNATAKA,2023-05,18884,136138,13.871218910223448
KARNATAKA,2023-06,9456,148332,6.374888763045061
KARNATAKA,2023-07,11603,137873,8.415715912470171
KARNATAKA,2023-08,11433,148524,7.697745818857558
KARNATAKA,2023-09,12184,150176,8.113147240571063
KARNATAKA,2023-10,12997,155374,8.364977409347768
KARNATAKA,2023-11,15930,182800,8.714442013129103
KARNATAKA,2023-12,12084,134529,8.982449880694869
KARNATAKA,2024-01,14462,168038,8.606386650638546
KARNATAKA,2024-02,14395,156466,9.200081806910127
KARNATAKA,2024-03,26246,172875,15.182067968185105
KARNATAKA,2024-04,8970,145411,6.168721761077222
KARNATAKA,2024-05,9846,155969,6.312792926799557
KARNATAKA,2024-06,10117,151485,6.678549031257221
KARNATAKA,2024-07,10568,138832,7.612077907110752
KARNATAKA,2024-08,9896,165629,5.974799099191567
KARNATAKA,2024-09,7828,136582,5.731355522689666
KARNATAKA,2024-10,10659,201726,5.283899943487701
KARNATAKA,2024-11,6849,182511,3.752650525173825
KARNATAKA,2024-12,4913,112648,4.361373481997017
KARNATAKA,2025-01,6665,171943,3.87628458268147
KARNATAKA,2025-02,5164,131547,3.925593134012938
KARNATAKA,2025-03,5380,158665,3.390791920083194
KARNATAKA,2025-04,4384,147497,2.972263842654427
KARNATAKA,2025-05,4388,150366,2.918212893872285
KARNATAKA,2025-06,4034,143420,2.8127178915074604
KARNATAKA,2025-07,4911,135805,3.616214425094805
KARNATAKA,2025-08,5898,164331,3.5890976139620645
KARNATAKA,2025-09,4559,139509,3.2678895268405626
KARNATAKA,2025-10,5667,256788,2.20687882611337
KARNATAKA,2025-11,4295,181745,2.363201188478363
KARNATAKA,2025-12,4101,131426,3.120387138009222
KARNATAKA,2026-01,5229,196564,2.660202275085977
KARNATAKA,2026-02,4615,169363,2.7249163040333486
KARNATAKA,2026-03,5974,202680,2.94750345372015
KARNATAKA,2026-04,5139,184845,2.7801671670859367
KARNATAKA,2026-05,4497,172946,2.6002335989268324
KARNATAKA,2026-06,2592,96695,2.6805936191116397
MADHYA PRADESH,2022-01,1539,101021,1.5234456202175786
MADHYA PRADESH,2022-02,1606,92533,1.735597030248668
